event_name,event_date,event_status
"Service Learning and Campus Journalism Dialogue",2023-10-30,Completed
"Athletics Congress",2023-01-16,Completed
"Alumni Engagement and STEM Camp",2023-11-28,Completed
"Academic Excellence and Sustainability Seminar",2026-05-07,Upcoming
"Student Government and Teacher Training Assembly",2023-08-08,Completed
"Community Academic Excellence Symposium",2026-09-27,Upcoming
"Sustainability Expo",2024-03-21,Completed
"Service Learning Series",2024-09-22,Completed
"Media Production Camp",2025-09-05,Completed
"Science Education Fair",2023-05-08,Completed
"University-Wide Data Analytics Fair",2023-08-13,Completed
"Service Learning and Media Production Bootcamp",2024-08-28,Completed
"Career Development and Digital Literacy Learning Session",2025-09-08,Completed
"Arts and Culture and STEM Showcase",2026-03-19,Completed
"Arts and Culture Forum",2023-08-26,Completed
"Teaching Excellence Assembly",2025-03-25,Completed
"Interdepartmental Inclusive Education Fair",2025-11-26,Completed
"Campus Journalism Assembly",2023-11-15,Completed
"Sustainability and Service Learning Workshop",2026-07-11,Upcoming
"Business Management and Sustainability Expo",2024-01-06,Completed
"Psychology and Teaching Excellence Fair",2026-10-24,Upcoming
"University-Wide Cybersecurity Workshop",2024-09-28,Completed
"University-Wide Sustainability Summit",2025-04-18,Completed
"Volunteerism and Innovation Training",2026-07-22,Upcoming
"Disaster Preparedness Colloquium",2025-03-18,Completed
"Entrepreneurship Learning Session",2024-09-21,Completed
"Service Learning and Arts and Culture Workshop",2026-04-03,Completed
"Debate and Health Awareness Congress",2024-08-22,Completed
"Faculty Disaster Preparedness Series",2024-08-01,Completed
"Inclusive Wellness Seminar",2026-06-16,Upcoming
"Financial Literacy and Disaster Preparedness Conference",2026-12-13,Upcoming
"Teacher Training and Business Management Symposium",2026-01-13,Completed
"Student Government and Media Production Seminar",2023-11-16,Completed
"Research Series",2025-04-05,Completed
"Environmental Awareness Workshop",2024-03-11,Completed
"Career Development and Disaster Preparedness Assembly",2025-04-23,Completed
"Campus Journalism and Cybersecurity Forum",2024-11-09,Completed
"Creative Hospitality Camp",2025-12-21,Completed
"College Disaster Preparedness Symposium",2024-03-11,Completed
"Career Development Colloquium",2026-12-22,Upcoming
"Applied Research Workshop",2023-10-15,Completed
"Alumni Engagement and Nursing Care Fair",2024-10-16,Completed
"Annual Student Government Bootcamp",2025-12-14,Completed
"Digital Literacy and Arts and Culture Expo",2023-04-02,Completed
"Interdepartmental Environmental Awareness Forum",2026-02-10,Completed
"Faculty Inclusive Education Learning Session",2026-10-15,Upcoming
"Community Outreach Congress",2026-09-05,Upcoming
"Volunteerism and Disaster Preparedness Showcase",2026-07-19,Upcoming
"Engineering Design and Mental Health Colloquium",2025-06-20,Completed
"Campus Data Analytics Bootcamp",2026-01-02,Completed
"Future-Ready Science Education Conference",2026-05-12,Upcoming
"College Career Development Mentoring Day",2024-01-15,Completed
"Faculty Language and Literature Forum",2024-01-30,Completed
"Regional Innovation Series",2026-11-04,Upcoming
"Student Government and Language and Literature Showcase",2026-12-26,Upcoming
"Young Leaders Nursing Care Forum",2024-11-23,Completed
"Innovation and Nursing Care Expo",2024-01-15,Completed
"Data Analytics and Teaching Excellence Learning Session",2023-10-20,Completed
"Innovation and Service Learning Forum",2026-01-16,Completed
"Cybersecurity Conference",2024-11-19,Completed
"Campus Tourism Learning Session",2025-04-06,Completed
"Entrepreneurship and Health Awareness Learning Session",2026-10-25,Upcoming
"Robotics Fair",2024-07-11,Completed
"Tourism and Hospitality Training",2024-11-26,Completed
"Regional Digital Literacy Summit",2026-11-02,Upcoming
"Alumni Engagement Orientation",2026-02-14,Completed
"Future-Ready Language and Literature Showcase",2023-09-20,Completed
"Mental Health and Engineering Design Training",2024-05-28,Completed
"Teaching Excellence and Data Analytics Assembly",2026-02-04,Completed
"Research Congress",2023-08-14,Completed
"Faculty Entrepreneurship Showcase",2023-03-14,Completed
"Future-Ready Athletics Learning Session",2023-05-19,Completed
"Faculty Academic Excellence Learning Session",2024-03-14,Completed
"Teaching Excellence Bootcamp",2024-09-28,Completed
"Industry-Academe Financial Literacy Seminar",2024-02-26,Completed
"Mental Health and Wellness Assembly",2024-08-24,Completed
"Community Outreach Summit",2024-05-31,Completed
"Nursing Care Conference",2024-08-31,Completed
"Regional Inclusive Education Training",2025-07-31,Completed
"Teaching Excellence Seminar",2026-07-13,Upcoming
"Nursing Care and Campus Journalism Camp",2023-02-18,Completed
"Psychology and Science Education Series",2023-02-16,Completed
"Digital Literacy and Leadership Colloquium",2026-09-12,Upcoming
"Community Leadership Dialogue",2026-07-04,Upcoming
"Entrepreneurship and Research Summit",2026-01-10,Completed
"College Nursing Care Mentoring Day",2025-07-11,Completed
"University-Wide STEM Learning Session",2026-11-22,Upcoming
"Inclusive Language and Literature Congress",2024-05-28,Completed
"Campus Journalism and STEM Orientation",2026-11-24,Upcoming
"Applied Student Government Congress",2025-09-28,Completed
"Industry-Academe Financial Literacy Summit",2023-06-23,Completed
"Financial Literacy Training",2024-06-14,Completed
"Research and Wellness Symposium",2024-10-16,Completed
"Young Leaders Research Summit",2026-09-24,Upcoming
"Health Awareness and Hospitality Dialogue",2024-10-21,Completed
"Community Outreach and Volunteerism Series",2023-01-24,Completed
"Health Awareness and Campus Journalism Summit",2024-06-03,Completed
"Data Analytics and Language and Literature Summit",2025-01-12,Completed
"Teaching Excellence and Financial Literacy Conference",2025-11-25,Completed
"Academic Excellence and Psychology Dialogue",2026-06-20,Upcoming
"Health Awareness and Business Management Fair",2025-12-24,Completed
"Athletics and Health Awareness Training",2024-08-21,Completed
"Faculty Robotics Symposium",2023-09-20,Completed
"Student Health Awareness Workshop",2026-03-25,Completed
"Robotics and Engineering Design Summit",2025-01-20,Completed
"Interdepartmental Volunteerism Camp",2024-07-12,Completed
"Science Education Camp",2023-09-11,Completed
"Applied Environmental Awareness Symposium",2026-03-27,Completed
"Volunteerism Assembly",2023-01-15,Completed
"Regional Innovation Showcase",2023-02-19,Completed
"Teacher Training Bootcamp",2026-08-26,Upcoming
"College Digital Literacy Orientation",2023-08-14,Completed
"Hospitality Seminar",2023-08-12,Completed
"Young Leaders Language and Literature Forum",2025-08-20,Completed
"Inclusive Education Training",2023-12-18,Completed
"Student Teacher Training Bootcamp",2026-03-19,Completed
"Campus Journalism and Nursing Care Learning Session",2026-06-28,Upcoming
"University-Wide Environmental Awareness Training",2023-06-19,Completed
"Data Analytics Bootcamp",2025-09-21,Completed
"Robotics Dialogue",2024-01-13,Completed
"Volunteerism Mentoring Day",2025-01-30,Completed
"Inclusive Athletics Workshop",2026-11-10,Upcoming
"Career Development Showcase",2026-07-30,Upcoming
"Financial Literacy and Inclusive Education Conference",2025-03-13,Completed
"Debate and Athletics Colloquium",2023-10-12,Completed
"Data Analytics Series",2026-12-03,Upcoming
"Public Speaking Forum",2023-10-01,Completed
"Tourism Series",2025-09-30,Completed
